All_species,Added_species
Juglans sp.,
Julella seedling,
Julella sericea,
Julella sp.,
Juncus acutiflorus,
Juncus acutus,
Juncus alpinoarticulatus,
Juncus alpinoarticulatus x articulatus = J. x buchenaui,
Juncus alpinus,
Juncus alpinus nodulosus,
Juncus ambiguus,
Juncus aridicola,
Juncus articulatus,
Juncus articulatus x acutiflorus = J. x surrejanus,
Juncus australis,
Juncus balticus,
Juncus balticus x effusus = J. x obotritorum,
Juncus balticus x inflexus,
Juncus biglumis,
Juncus bufonius,
Juncus bufonius agg.,
Juncus bulbosus,
Juncus bulbosus fluitans,
Juncus capitatus,
Juncus castaneus,
Juncus cf. acutiflorus,
Juncus cf. articulatus x acutiflorus,
Juncus compressus,
Juncus conglomeratus,
Juncus continuus,
Juncus distegus,
Juncus effusus,
Juncus effusus x conglomeratus = J. x kern-reichgeltii,
Juncus effusus x pallidus,
Juncus ensifolius,
Juncus filiformis,
Juncus flavidus,
Juncus foliosus,
Juncus gerardi,
Juncus gerardii,
Juncus gregiflorus,
Juncus hybridus,
Juncus imbricatus,
Juncus inflexus,
Juncus inflexus x effusus = J. x diffusus,
Juncus inflexus x pallidus,
Juncus involucratus,
Juncus maritimus,
Juncus minutulus,
Juncus ochrocoleus,
Juncus oxycarpus,
Juncus pallidus,
Juncus pauciflorus,
Juncus planifolius,
Juncus procerus,
Juncus pygmaeus,
Juncus radula,
Juncus ranarius,
Juncus sarophorus,
Juncus seedling,
Juncus sp.,
Juncus squarrosus,
Juncus subnodulosus,
Juncus subsecundus,
Juncus subulatus,
Juncus tenuis,
Juncus trifidus,
Juncus triglumis,
Juncus uruguensis,
Juncus usitatus,
Juncus vaginatus,
Juncus x diffusus,
Jungermannia atrovirens,
Jungermannia borealis,
Jungermannia caespiticia,
Jungermannia confertissima,
Jungermannia exertifolia var cordifolia,
Jungermannia gracillima,
Jungermannia hyalina,
Jungermannia leiantha,
Jungermannia obovata,
Jungermannia paroica,
Jungermannia polaris,
Jungermannia pumila,
Jungermannia seedling,
Jungermannia sp.,
Jungermannia sphaerocarpa,
Jungermannia subelliptica,
Juniperus chinensis,
Juniperus communis,
Juniperus communis communis,
Juniperus communis nana,
Juniperus communis subsp. communis,
Juniperus communis subsp. hemisphaerica,
Juniperus communis subsp. nana,
Juniperus recurva,
Juniperus seedling,
Juniperus sp.,
Juniperus virginiana,
Kalanchoe blossfeldiana,
Kalanchoe seedling,
Kalanchoe sp.,
Kalmia angustifolia,
Kalmia latifolia,
Kalmia polifolia,
Kalmia seedling,
Kalmia sp.,
Kernera saxatilis,
Kernera seedling,
Kernera sp.,
Kerria japonica,
Kerria seedling,
Kerria sp.,
Kiaeria blyttii,
Kiaeria falcata,
Kiaeria seedling,
Kiaeria sp.,
Kiaeria starkei,
Kickxia elatine,
Kickxia elatine subsp. crinita,
Kickxia elatine subsp. elatine,
Kickxia seedling,
Kickxia sp.,
Kickxia spuria,
Kitaibela seedling,
Kitaibela sp.,
Kitaibela vitifolia,
Knautia arvensis,
Knautia dipsacifolia,
Knautia seedling,
Knautia sp.,
Kniphofia praecox,
Kniphofia rufa,
Kniphofia seedling,
Kniphofia sp.,
Kniphofia uvaria,
Kobresia seedling,
Kobresia simpliciuscula,
Kobresia sp.,
Koeleria macrantha,
Koeleria seedling,
Koeleria sp.,
Koeleria vallesiana,
Koeleria vallesiana x macrantha,
Koelreuteria paniculata,
Koelreuteria seedling,
Koelreuteria sp.,
Koenigia islandica,
Koenigia seedling,
Koenigia sp.,
Koerberiella seedling,
Koerberiella sp.,
Koerberiella wimmeriana,
Kolkwitzia amabilis,
Kolkwitzia seedling,
Kolkwitzia sp.,
Kurzia pauciflora,
Kurzia seedling,
Kurzia sp.,
Kurzia sylvatica,
Kurzia trichoclados,
Lablab purpureus,
Lablab seedling,
Lablab sp.,
Laburnum alpinum,
Laburnum anagyroides,
Laburnum anagyroides x alpinum = L. x watereri,
Laburnum seedling,
Laburnum sp.,
Lactuca perennis,
Lactuca saligna,
Lactuca sativa,
Lactuca seedling,
Lactuca serriola,
Lactuca sp.,
Lactuca tatarica,
Lactuca viminea,
Lactuca virosa,
Lagarosiphon major,
Lagarosiphon seedling,
Lagarosiphon sp.,
Lagenaria seedling,
Lagenaria siceraria,
Lagenaria sp.,
Lagurus ovatus,
Lagurus seedling,
Lagurus sp.,
Lallemantia iberica,
Lallemantia peltata,
Lallemantia seedling,
Lallemantia sp.,
Lamarckia aurea,
Lamarckia seedling,
Lamarckia sp.,
Lamiastrum galeobdolon,
Lamiastrum galeobdolon subsp. argentatum,
Lamiastrum galeobdolon subsp. galeobdolon,
Lamiastrum galeobdolon subsp. montanum,
Lamiastrum seedling,
Lamiastrum sp.,
Lamium album,
Lamium amplexicaule,
Lamium bifidum,
Lamium confertum,
Lamium garganicum,
Lamium hybridum,
Lamium maculatum,
Lamium moluccellifolium,
Lamium orvala,
Lamium purpureum,
Lamium seedling,
Lamium sp.,
Lamium/Glechoma seedling,
Lampranthus conspicuus,
Lampranthus falciformis,
Lampranthus roseus,
Lampranthus scaber,
Lampranthus seedling,
Lampranthus sp.,
Lampranthus spectabilis,
Lamprocapnos seedling,
Lamprocapnos sp.,
Lamprocapnos spectabilis,
Lamprothamnium papulosum,
Lamprothamnium seedling,
Lamprothamnium sp.,
Lappula deflexa,
Lappula echinophora,
Lappula marginata,
Lappula seedling,
Lappula sp.,
Lappula squarrosa,
Lappula szovitsiana,
Lapsana communis,
Lapsana communis subsp. communis,
Lapsana communis subsp. intermedia,
Lapsana seedling,
Lapsana sp.,
Larix decidua,
Larix decidua (c),
Larix decidua (g),
Larix decidua (s),
Larix decidua x kaempferi = L. x marschlinsii,
Larix eurolepis (c),
Larix gmelinii,
Larix kaempferi,
Larix kaempferi (c),
Larix kaempferi (s),
Larix laricina,
Larix seedling,
Larix sp.,
Larix sp.(c),
Larix sp.(g),
Larix sp.(s),
Larix x eurolepis (s),
Lasallia pustulata,
Lasallia seedling,
Lasallia sp.,
Laser seedling,
Laser sp.,
Laser trilobum,
Laserpitium latifolium,
Laserpitium seedling,
Laserpitium sp.,
Lasiospermum bipinnatum,
Lasiospermum seedling,
Lasiospermum sp.,
Lasthenia glabrata,
Lasthenia platycarpha,
Lasthenia seedling,
Lasthenia sp.,
Lathraea clandestina,
Lathraea seedling,
Lathraea sp.,
Lathraea squamaria,
Lathyrus angulatus,
Lathyrus annuus,
Lathyrus aphaca,
Lathyrus blepharicarpus,
Lathyrus cicera,
Lathyrus clymenum,
Lathyrus gorgoni,
Lathyrus grandiflorus,
Lathyrus heterophyllus,
Lathyrus hierosolymitanus,
Lathyrus hirsutus,
Lathyrus inconspicuus,
Lathyrus japonicus,
Lathyrus japonicus subsp. maritimus,
Lathyrus latifolius,
Lathyrus linifolius,
Lathyrus marmoratus,
Lathyrus montanus,
Lathyrus niger,
Lathyrus nissolia,
Lathyrus ochrus,
Lathyrus odoratus,
Lathyrus palustris,
Lathyrus palustris subsp. palustris,
Lathyrus palustris subsp. pilosus,
Lathyrus pratensis,
Lathyrus rotundifolius,
Lathyrus sativus,
Lathyrus saxatilis,
Lathyrus seedling,
Lathyrus seedling/sp,
Lathyrus setifolius,
Lathyrus sp.,
Lathyrus sphaericus,
Lathyrus sylvestris,
Lathyrus tingitanus,
Lathyrus tuberosus,
Laurus nobilis,
Laurus seedling,
Laurus sp.,
Lavandula angustifolia,
Lavandula angustifolia x latifolia = L. x intermedia,
Lavandula latifolia,
Lavandula seedling,
Lavandula sp.,
Lavatera arborea,
Lavatera cretica,
Lavatera kashmiriana,
Lavatera maritima,
Lavatera olbia x thuringiaca = L. x clementii,
Lavatera plebeia,
Lavatera punctata,
Lavatera seedling,
Lavatera sp.,
Lavatera triloba,
Lavatera trimestris,
Layia chrysanthemoides,
Layia seedling,
Layia sp.,
Lecanactis abietina,
Lecanactis abscondita,
Lecanactis amylacea,
Lecanactis dilleniana,
Lecanactis grumulosa,
Lecanactis hemisphaerica,
Lecanactis homalotropa,
Lecanactis latebrarum,
Lecanactis lyncea,
Lecanactis premnea,
Lecanactis seedling,
Lecanactis sp.,
Lecanactis subabietina,
Lecania aipospila,
Lecania atrynoides,
Lecania baeomma,
Lecania chlorotiza,
Lecania coeruleorubella,
Lecania coerulescens,
Lecania cyrtella,
Lecania cyrtellina,
Lecania erysibe,
Lecania fuscella,
Lecania hutchinsiae,
Lecania inundata,
Lecania nylanderiana,
Lecania olivacella,
Lecania rabenhorstii,
Lecania seedling,
Lecania sp.,
Lecania suavis,
Lecania sylvestris,
Lecania turicensis,
Lecanora achariana,
Lecanora actophila,
Lecanora agardhiana,
Lecanora aitema,
Lecanora albescens,
Lecanora alboflavida,
Lecanora andrewii,
Lecanora argentata,
Lecanora atrosulphurea,
Lecanora cadubriae,
Lecanora caesiosora,
Lecanora campestris,
Lecanora carpinea,
Lecanora cenisia,
Lecanora chlarotera,
Lecanora chlorophaeodes,
Lecanora cinereofusca,
Lecanora conferta,
Lecanora confusa,
Lecanora congesta,
Lecanora conizaeoides,
Lecanora crenulata,
Lecanora dispersa,
Lecanora epanora,
Lecanora epibryon,
Lecanora expallens,
Lecanora farinaria,
Lecanora frustulosa,
Lecanora fugiens,
Lecanora fuscescens,
Lecanora gangaleoides,
Lecanora gisleriana,
Lecanora handelii,
Lecanora helicopis,
Lecanora horiza,
Lecanora intricata,
Lecanora intumescens,
Lecanora jamesii,
Lecanora laevis,
Lecanora leptacina,
Lecanora marginata,
Lecanora muralis,
Lecanora orosthea,
Lecanora pallida,
Lecanora piniperda,
Lecanora poliophaea,
Lecanora polytropa,
Lecanora populicola,
Lecanora praepostera,
Lecanora pruinosa,
Lecanora pulicaris,
Lecanora quercicola,
Lecanora rugosella,
Lecanora rupicola,
Lecanora saligna,
Lecanora salina,
Lecanora sambuci,
Lecanora sarcopisioides,
Lecanora seedling,
Lecanora soralifera,
Lecanora sp.,
Lecanora stenotropa,
Lecanora straminea,
Lecanora strobilina,
Lecanora subaurea,
Lecanora subcarnea,
Lecanora subintricata,
Lecanora sublivescens,
Lecanora sulphurea,
Lecanora swartzii,
Lecanora symmicta,
Lecanora tenera,
Lecanora varia,
Lecidea advertens,
Lecidea ahlesii,
Lecidea antiloga,
Lecidea associata,
Lecidea atrofulva,
Lecidea auriculata,
Lecidea berengeriana,
Lecidea botryosa,
Lecidea brachyspora,
Lecidea caesioatra,
Lecidea carrollii,
Lecidea cinnabarina,
Lecidea commaculans,
Lecidea confluens,
Lecidea diducens,
Lecidea doliiformis,
Lecidea endomelaena,
Lecidea erratica,
Lecidea erythrophaea,
Lecidea fuliginosa,
Lecidea fuscoatra,
Lecidea gyrizans,
Lecidea hypnorum,
Lecidea hypopta,
Lecidea inops,
Lecidea inquinans,
Lecidea insidiosa,
Lecidea insularis,
Lecidea lactea,
Lecidea lapicida,
Lecidea lichenicola,
Lecidea limosa,
Lecidea lithophila,
Lecidea matildae,
Lecidea mullensis,
Lecidea nigrogrisea,
Lecidea nylanderi,
Lecidea paraclitica,
Lecidea paupercula,
Lecidea pernigra,
Lecidea phaeops,
Lecidea plana,
Lecidea polycarpella,
Lecidea punctum,
Lecidea pycnocarpa,
Lecidea sanguineoatra,
Lecidea sarcogynoides,
Lecidea seedling,
Lecidea silacea,
Lecidea sp.,
Lecidea tornoensis,
Lecidea turgidula,
Lecidea umbonella,
Lecidella anomaloides,
Lecidella bullata,
Lecidella carpathica,
Lecidella elaeochroma,
Lecidella prasinula,
Lecidella pulveracea,
Lecidella scabra,
Lecidella seedling,
Lecidella sp.,
Lecidella stigmatea,
Lecidella subincongrua,
Lecidella viridans,
Lecidella wulfenii,
Lecidoma demissum,
Lecidoma seedling,
Lecidoma sp.,
Ledum palustre,
Ledum palustre groenlandicum,
Ledum palustre palustre,
Ledum palustre subsp. groenlandicum,
Ledum seedling,
Ledum sp.,
Leersia oryzoides,
Leersia seedling,
Leersia sp.,
Legousia falcata,
Legousia hybrida,
Legousia pentagonia,
Legousia seedling,
Legousia sp.,
Legousia speculum-veneris,
Leiocolea alpestris,
Leiocolea badensis,
Leiocolea bantriensis,
Leiocolea gillmanii,
Leiocolea heterocolpos,
Leiocolea rutheana,
Leiocolea seedling,
Leiocolea sp.,
Leiocolea turbinata,
Lejeunea cavifolia,
Lejeunea flava,
Lejeunea hibernica,
Lejeunea holtii,
Lejeunea lamacerina,
Lejeunea mandonii,
Lejeunea patens,
Lejeunea seedling,
Lejeunea sp.,
Lejeunea ulicina,
Lemmopsis arnoldiana,
Lemmopsis seedling,
Lemmopsis sp.,
Lemna gibba,
Lemna minor,
Lemna minuta,
Lemna seedling,
Lemna sp.,
Lemna trisulca,
Lempholemma botryosum,
Lempholemma chalazanum,
Lempholemma cladodes,
Lempholemma intricatum,
Lempholemma minutissimum,
Lempholemma myriococcum,
Lempholemma radiatum,
Lempholemma seedling,
Lempholemma sp.,
Lens culinaris,
Lens nigricans,
Lens seedling,
Lens sp.,
Leontodon autumnalis,
Leontodon autumnalis subsp. autumnalis,
Leontodon autumnalis subsp. pratensis,
Leontodon hispidus,
Leontodon hispidus subsp. danubialis,
Leontodon hispidus x saxatilis,
Leontodon muelleri,
Leontodon salzmannii,
Leontodon saxatilis,
Leontodon seedling,
Leontodon sp.,
Leontodon taraxacoides,
Leontopodium alpinum,
Leontopodium seedling,
Leontopodium sp.,
Leonurus cardiaca,
Leonurus marrubiastrum,
Leonurus seedling,
Leonurus sp.,
Lepidium aletes,
Lepidium aucheri,
Lepidium bipinnatifidum,
Lepidium bonariense,
Lepidium campestre,
Lepidium capense,
Lepidium desertorum,
Lepidium desvauxii,
Lepidium draba,
Lepidium draba subsp. chalepense,
Lepidium draba subsp. draba,
Lepidium fallax,
Lepidium fasciculatum,
Lepidium graminifolium,
Lepidium heterophyllum,
Lepidium hirtum,
Lepidium hyssopifolium,
Lepidium lasiocarpum,
Lepidium latifolium,
Lepidium lyratum,
Lepidium monoplocoides,
Lepidium montanum,
Lepidium oxytrichum,
Lepidium papillosum,
Lepidium peregrinum,
Lepidium perfoliatum,
Lepidium pinnatifidum,
Lepidium pseudodidymum,
Lepidium pseudohyssopifolium,
Lepidium pseudoruderale,
Lepidium ruderale,
Lepidium sagittulatum,
Lepidium sativum,
Lepidium schinzii,
Lepidium seedling,
Lepidium sp.,
Lepidium spicatum,
Lepidium spinosum,
Lepidium strictum,
Lepidium villarsii,
Lepidium virginicum,
Lepidotis inundata,
Lepidotis seedling,
Lepidotis sp.,
Lepidozia cupressima,
Lepidozia pearsonii,
Lepidozia reptans,
Lepidozia seedling,
Lepidozia sp.,
Lepraria caesioalba,
Lepraria eburnea,
Lepraria frigida,
Lepraria incana,
Lepraria lesdainii,
Lepraria lobificans,
Lepraria neglecta,
Lepraria nivalis,
Lepraria seedling,
Lepraria sp.,
Leprocaulon microscopicum,
Leprocaulon seedling,
Leprocaulon sp.,
Leproloma cacuminum,
Leproloma diffusum,
Leproloma membranacea,
Leproloma seedling,
Leproloma sp.,
Leproloma vouauxii,
Leproplaca chrysodeta,
Leproplaca seedling,
Leproplaca sp.,
Leproplaca xantholyta,
Leptobryum pyriforme,
Leptobryum seedling,
Leptobryum sp.,
Leptochloa ciliolata,
Leptochloa decipiens,
Leptochloa divaricatissima,
Leptochloa fascicularis,
Leptochloa fusca,
Leptochloa muelleri,
Leptochloa peacockii,
Leptochloa seedling,
Leptochloa sp.,
Leptochloa uninervia,
Leptodon seedling,
Leptodon smithii,
Leptodon sp.,
Leptodontium flexifolium,
Leptodontium gemmascens,
Leptodontium recurvifolium,
Leptodontium seedling,
Leptodontium sp.,
Leptogium brebissonii,
Leptogium britannicum,
Leptogium burgessii,
Leptogium byssinum,
Leptogium cochleatum,
Leptogium corniculatum,
Leptogium cyanescens,
Leptogium diffractum,
Leptogium gelatinosum,
Leptogium hibernicum,
Leptogium hildenbrandii,
Leptogium jurassianum,
Leptogium juressianum,
Leptogium lichenoides,
Leptogium massiliense,
Leptogium plicatile,
Leptogium saturninum,
Leptogium schraderi,
Leptogium seedling,
Leptogium sp.,
Leptogium subtile,
Leptogium tenuissimum,
Leptogium teretiusculum,
Leptogium turgidum,
Leptolepia novae-zelandiae,
Leptolepia seedling,
Leptolepia sp.,
Leptorhaphis atomaria,
Leptorhaphis epidermidis,
Leptorhaphis maggiana,
Leptorhaphis seedling,
Leptorhaphis sp.,
Leptorhynchos seedling,
Leptorhynchos sp.,
Leptorhynchos squamatus,
Leptoscyphus cuneifolius,
Leptoscyphus seedling,
Leptoscyphus sp.,
Leptospermum lanigerum,
Leptospermum liversidgei,
Leptospermum scoparium,
Leptospermum seedling,
Leptospermum sericeum,
Leptospermum sp.,
Lepyrodiclis holosteoides,
Lepyrodiclis seedling,
Lepyrodiclis sp.,
Lepyrodiclis stellarioides,
Lescuraea incurvata,
Lescuraea patens,
Lescuraea plicata,
Lescuraea seedling,
Lescuraea sp.,
Leskea polycarpa,
Leskea seedling,
Leskea sp.,
Leucanthemella seedling,
Leucanthemella serotina,
Leucanthemella sp.,
Leucanthemum atratum,
Leucanthemum lacustre,
Leucanthemum lacustre x maximum = L. x superbum,
Leucanthemum maximum,
Leucanthemum monspeliense,
Leucanthemum paludosum,
Leucanthemum seedling,
Leucanthemum sp.,
Leucanthemum vulgare,
Leucobryum glaucum,
Leucobryum juniperoideum,
Leucobryum seedling,
Leucobryum sp.,
Leucocarpia biatorella,
Leucocarpia seedling,
Leucocarpia sp.,
Leucocarpopsis devensis,
Leucocarpopsis seedling,
Leucocarpopsis sp.,
Leucodon sciuroides,
Leucodon seedling,
Leucodon sp.,
Leucojum aestivum,
Leucojum aestivum subsp. aestivum,
Leucojum aestivum subsp. pulchellum,
Leucojum seedling,
Leucojum sp.,
Leucojum vernum,
Leucothoe fontanesiana,
Leucothoe seedling,
Leucothoe sp.,
Levisticum officinale,
Levisticum seedling,
Levisticum sp.,
Leycesteria formosa,
Leycesteria seedling,
Leycesteria sp.,
Leymus arenarius,
Leymus karelinii,
Leymus paboanus,
Leymus secalinus,
Leymus seedling,
Leymus sp.,
Leysera capillifolia,
Leysera seedling,
Leysera sp.,
Leysera tenella,
Liatris ligulistylis,
Liatris seedling,
Liatris sp.,
Libertia caerulescens,
Libertia elegans,
Libertia formosa,
Libertia seedling,
Libertia sp.,
Libocedrus chilensis,
Libocedrus seedling,
Libocedrus sp.,
Lichen seedling,
Lichen sp.,
Lichen spp,
Lichenothelia convexa,
Lichenothelia seedling,
Lichenothelia sp.,
Lichina confinis,
Lichina pygmaea,
Lichina seedling,
Lichina sp.,
Ligularia dentata,
Ligularia fischeri,
Ligularia japonica,
Ligularia przewalskii,
Ligularia seedling,
Ligularia sp.,
Ligusticum scoticum,
Ligusticum seedling,
Ligusticum sp.,
Ligustrum lucidum,
Ligustrum ovalifolium,
Ligustrum seedling,
Ligustrum sinensis,
Ligustrum sp.,
Ligustrum strongylophyllum,
Ligustrum vulgare,
Ligustrum vulgare (g),
Ligustrum vulgare (s),
Ligustrum vulgare agg.,
Ligustrum vulgare x ovalifolium = L. x vicaryi,
Lilium bulbiferum,
Lilium canadense,
Lilium candidum,
Lilium martagon,
Lilium monodelphum,
Lilium pomponium,
Lilium pyrenaicum,
Lilium regale,
Lilium regale x sargentiae = L. x imperiale,
Lilium seedling,
Lilium sp.,
Limnanthes douglasii,
Limnanthes seedling,
Limnanthes sp.,
Limonium auriculae-ursifolium,
Limonium bellidifolium,
Limonium binervosum,
Limonium binervosum agg.,
Limonium binervosum ss,
Limonium binervosum subsp. anglicum,
Limonium binervosum subsp. binervosum,
Limonium binervosum subsp. cantianum,
Limonium binervosum subsp. mutatum,
Limonium binervosum subsp. sarniense,
Limonium binervosum subsp. saxonicum,
Limonium bonduellii,
Limonium britannicum,
Limonium britannicum subsp. britannicum,
Limonium britannicum subsp. celticum,
Limonium britannicum subsp. coombense,
Limonium britannicum subsp. transcanalis,
Limonium brittanicum,
Limonium dodartiforme,
Limonium humile,
Limonium hyblaeum,
Limonium loganicum,
Limonium normannicum,
Limonium paradoxum,
Limonium parvum,
Limonium platyphyllum,
Limonium procerum,
Limonium procerum subsp. cambrense,
Limonium procerum subsp. devoniense,
Limonium procerum subsp. procerum,
Limonium recurvum,
Limonium recurvum subsp. humile,
Limonium recurvum subsp. portlandicum,
Limonium recurvum subsp. pseudotranswallianum,
Limonium recurvum subsp. recurvum,
Limonium seedling,
Limonium sinuatum,
Limonium sp.,
Limonium transwallianum,
Limonium vulgare,
Limonium vulgare x humile = L. x neumanii,
Limosella aquatica,
Limosella aquatica x australis,
Limosella australis,
Limosella capensis,
Limosella seedling,
Limosella sp.,
Linanthus androsaceus,
Linanthus grandiflorus,
Linanthus seedling,
Linanthus sp.,
Linaria aeruginea,
Linaria alpina,
Linaria angustissima,
Linaria anticaria,
Linaria arenaria,
Linaria arvensis,
Linaria bipartita,
Linaria caesia,
Linaria chalepensis,
Linaria dalmatica,
Linaria incarnata,
Linaria maroccana,
Linaria micrantha,
Linaria pelisseriana,
Linaria purpurea,
Linaria purpurea x repens = L. x dominii,
Linaria reflexa,
Linaria repens,
Linaria repens x supina = L. x cornubiensis,
Linaria saxatilis,
Linaria seedling,
Linaria simplex,
Linaria sp.,
Linaria spartea,
Linaria supina,
Linaria triphylla,
Linaria viscosa,
Linaria vulgaris,
Linaria vulgaris x repens = L. x sepium,
Linnaea borealis,
Linnaea seedling,
Linnaea sp.,
Linum austriacum,
Linum bienne,
Linum catharticum,
Linum grandiflorum,
Linum narbonense,
Linum perenne,
Linum perenne anglicum,
Linum perenne subsp. anglicum,
Linum perenne subsp. montanum,
Linum seedling,
Linum sp.,
Linum suffruticosum,
Linum tenue,
Linum tenuifolium,
Linum usitatissimum,
Liparis loeselii,
Liparis seedling,
Liparis sp.,
Liriodendron seedling,
Liriodendron sp.,
Liriodendron tulipifera,
Listera cordata,
Listera ovata,
Listera seedling,
Listera sp.,
Lithodora diffusa,
Lithodora seedling,
Lithodora sp.,
Lithographa seedling,
Lithographa sp.,
Lithographa tesserata,
Lithospermum arvense,
Lithospermum officinale,
Lithospermum purpureocaeruleum,
Lithospermum seedling,
Lithospermum sp.,
Litter seedling,
Litter sp.,
Littorella seedling,
Littorella sp.,
Littorella uniflora,
Liverwort seedling,
Liverwort sp.,
Lloydia seedling,
Lloydia serotina,
Lloydia sp.,
Lobaria amplissima,
Lobaria pulmonaria,
Lobaria scrobiculata,
Lobaria seedling,
Lobaria sp.,
Lobaria virens,
Lobelia dortmanna,
Lobelia erinus,
Lobelia filiformis,
Lobelia gracilis,
Lobelia seedling,
Lobelia siphilitica,
Lobelia sp.,
Lobelia urens,
Lobularia maritima,
Lobularia seedling,
Lobularia sp.,
Loeflingia hispanica,
Loeflingia seedling,
Loeflingia sp.,
Logfia arvensis,
Logfia gallica,
Logfia minima,
Logfia seedling,
Logfia sp.,
Loiseleuria procumbens,
Loiseleuria seedling,
Loiseleuria sp.,
Lolium multiflorum,
Lolium perenne,
Lolium perenne x multiflorum = L. x boucheanum,
Lolium persicum,
Lolium remotum,
Lolium rigidum,
Lolium seedling,
Lolium sp.,
Lolium temulentum,
Lonas annua,
Lonas seedling,
Lonas sp.,
Lonicera alpigena,
Lonicera caerulea,
Lonicera caprifolium,
Lonicera caprifolium x etrusca = L. x italica,
Lonicera chrysantha,
Lonicera etrusca,
Lonicera fragrantissima x standishii = L. x purpusii,
Lonicera henryi,
Lonicera involucrata,
Lonicera japonica,
Lonicera morrowii,
Lonicera nitida,
Lonicera periclymenum,
Lonicera periclymenum (c),
Lonicera periclymenum (g),
Lonicera periclymenum (s),
Lonicera pileata,
Lonicera seedling,
Lonicera sp.,
Lonicera standishii,
Lonicera syringantha,
Lonicera tatarica,
Lonicera trichosantha,
Lonicera xylosteum,
Lopadium disciforme,
Lopadium pezizoideum,
Lopadium seedling,
Lopadium sp.,
Lopezia coronata,
Lopezia seedling,
Lopezia sp.,
Lophocolea bidentata,
Lophocolea bispinosa,
Lophocolea cuspidata,
Lophocolea fragrans,
Lophocolea heterophylla,
Lophocolea seedling,
Lophocolea semiteres,
Lophocolea sp.,
Lophozia bicrenata,
Lophozia capitata,
Lophozia cf. ventricosa,
Lophozia excisa,
Lophozia guttulata,
Lophozia incisa,
Lophozia longidens,
Lophozia obtusa,
Lophozia opacifolia,
Lophozia perssonii,
Lophozia seedling,
Lophozia sp.,
Lophozia sudetica,
Lophozia ventricosa,
Lophozia wenzelii,
Lotononis lupinifolia,
Lotononis seedling,
Lotononis sp.,
Lotus americanus,
Lotus angustissimus,
Lotus borbasii,
Lotus conimbricensis,
Lotus corniculatus,
Lotus creticus,
Lotus cytisoides,
Lotus edulis,
Lotus jacobaeus,
Lotus ornithopodioides,
Lotus palustris,
Lotus pedunculatus,
Lotus seedling,
Lotus sp.,
Lotus subbiflorus,
Lotus subbiflorus subbiflorus,
Lotus tenuis,
Lotus uliginosus,
Ludwigia grandiflora,
Ludwigia palustris,
Ludwigia palustris x repens = L. x kentiana,
Ludwigia seedling,
Ludwigia sp.,
Luma apiculata,
Luma seedling,
Luma sp.,
Lunaria annua,
Lunaria rediviva,
Lunaria seedling,
Lunaria sp.,
Lunularia cruciata,
Lunularia seedling,
Lunularia sp.,
Lupinus albus,
Lupinus angustifolius,
Lupinus arboreus,
Lupinus arboreus x polyphyllus = L. x regalis,
Lupinus arboreus x polyphyllus x nootkatensis,
Lupinus luteus,
Lupinus micranthus,
Lupinus nootkatensis,
Lupinus polyphyllus,
Lupinus polyphyllus agg.,
Lupinus polyphyllus x nootkatensis = L. x pseudopolyphyllus,
Lupinus seedling,
Lupinus sp.,
Luronium natans,
Luronium seedling,
Luronium sp.,
Luzula arcuata,
Luzula campestris,
Luzula campestris/multiflora,
Luzula forsteri,
Luzula forsteri x pilosa = L. x borreri,
Luzula fosteri,
Luzula luzuloides,
Luzula multiflora,
Luzula multiflora subsp. congesta,
Luzula multiflora subsp. hibernica,
Luzula multiflora subsp. multiflora,
Luzula nivea,
Luzula pallescens,
Luzula pallidula,
Luzula pilosa,
Luzula seedling,
Luzula sp.,
Luzula spicata,
Luzula sylvatica,
Lychnis alpina,
Lychnis chalcedonica,
Lychnis coronaria,
Lychnis coronata x fulgens = L. x haageana,
Lychnis flos-cuculi,
Lychnis flos-jovis,
Lychnis fulgens,
Lychnis seedling,
Lychnis sp.,
Lychnis viscaria,
Lycium barbarum,
Lycium barbarum agg.,
Lycium chinense,
Lycium seedling,
Lycium sp.,
Lycocarpus fugax,
Lycocarpus seedling,
Lycocarpus sp.,
Lycopersicon esculentum,
Lycopersicon pimpinellifolium,
Lycopersicon seedling,
Lycopersicon sp.,
Lycopodiella inundata,
Lycopodiella seedling,
Lycopodiella sp.,
Lycopodium annotinum,
Lycopodium clavatum,
Lycopodium seedling,
Lycopodium sp.,
Lycopus europaeus,
Lycopus seedling,
Lycopus sp.,
Lysichiton americanus,
Lysichiton camtschatcensis,
Lysichiton seedling,
Lysichiton sp.,
Lysimachia ciliata,
Lysimachia ephemerum,
Lysimachia nemorum,
Lysimachia nummularia,
Lysimachia punctata,
Lysimachia quadrifolia,
Lysimachia seedling,
Lysimachia seedling/sp,
Lysimachia sp.,
Lysimachia terrestris,
Lysimachia thyrsiflora,
Lysimachia vulgaris,
Lythrum alatum,
Lythrum hyssopifolia,
Lythrum junceum,
Lythrum portula,
Lythrum portula subsp. longidentatum,
Lythrum portula subsp. portula,
Lythrum salicaria,
Lythrum seedling,
Lythrum sp.,
Lythrum virgatum,
Macentina abscondita,
Macentina seedling,
Macentina sp.,
Macentina stigonemoides,
Macleaya cordata,
Macleaya cordata x microcarpa = M. x kewensis,
Macleaya seedling,
Macleaya sp.,
Madia glomerata,
Madia sativa,
Madia seedling,
Madia sp.,
Magnesium seedling,
Magnesium sp.,
